from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
11258,11258,4,0,14264709,14257645
11258,11258,4,0,14264710,14257648
11258,11258,4,0,14264711,14257649
11258,11258,4,0,14264712,14257650
11258,11258,4,0,14264713,14257651
11258,11258,4,0,14264714,14257652
11258,11258,4,0,14264715,14257653
11258,11258,4,0,14264716,14257631
11258,11258,4,0,14264717,14257629
11258,11258,4,0,14264718,14257626
11258,11258,4,0,14264719,14257627
11258,11258,4,0,14264720,14257628
11258,11258,4,0,14264721,14257660
11258,11258,4,0,14264722,14257661
11258,11258,4,0,14264723,14257630
11258,11258,4,0,14264788,14257795
11258,11258,4,0,14264789,14257796
11258,11258,4,0,14264790,14257797
11258,11258,4,0,14264791,14257799
11258,11258,4,0,14264792,14257800
11258,11258,4,0,14264793,14257801
11258,11258,4,0,14264794,14257802
11258,11258,4,0,14264795,14257803
11258,11258,4,0,14264796,14257804
11258,11258,4,0,14264797,14257773
11258,11258,4,0,14264798,14257805
11258,11258,4,0,14264799,14257806
11258,11258,4,0,14264800,14257807
11258,11258,4,0,14264801,14257808
11258,11258,4,0,14264802,14257809
11258,11258,4,0,14264803,14257810
11258,11258,4,0,14264804,14257811
11258,11258,4,0,14264805,14257812
11258,11258,4,0,14264806,14257813
11258,11258,4,0,14264807,14257814
11258,11258,4,0,14264808,14257815
11258,11258,4,0,14264809,14257784
11258,11258,4,0,14264810,14257816
11258,11258,4,0,14264811,14257817
11258,11258,4,0,14264812,14257769
11258,11258,4,0,14264813,14257775
11258,11258,4,0,14264814,14257818
11258,11258,4,0,14264815,14257819
11258,11258,4,0,14264816,14257820
11258,11258,4,0,14264817,14257821
11258,11258,4,0,14264818,14257822
11258,11258,4,0,14264819,14257823
11258,11258,4,0,14264820,14257824
11258,11258,4,0,14264821,14257825
11258,11258,4,0,14264822,14257760
11258,11258,4,0,14264823,14257761
11258,11258,4,0,14264824,14257762
11258,11258,4,0,14264825,14257774
11258,11258,4,0,14264826,14257789
11258,11258,4,0,14264827,14257783
11258,11258,4,0,14264828,14257798
11258,11258,4,0,14264829,14257772
11258,11258,4,0,14264830,14257777
11258,11258,4,0,14264831,14257778
11258,11258,4,0,14264832,14257779
11258,11258,4,0,14264833,14257780
11258,11258,4,0,14264834,14257781
11258,11258,4,0,14264835,14257782
11258,11258,4,0,14264836,14257785
11258,11258,4,0,14264837,14257776
11258,11258,4,0,14264838,14257786
11258,11258,4,0,14264839,14257787
11258,11258,4,0,14264840,14257788
11258,11258,4,0,14264841,14257790
11258,11258,4,0,14264842,14257791
11258,11258,4,0,14264843,14257792
11258,11258,4,0,14264844,14257793
11258,11258,4,0,14264845,14257794
11258,11258,4,0,14264846,14257763
11258,11258,4,0,14264847,14257764
11258,11258,4,0,14264848,14257765
11258,11258,4,0,14264849,14257766
11258,11258,4,0,14264850,14257767
11258,11258,4,0,14264851,14257768
11258,11258,4,0,14264852,14257770
11258,11258,4,0,14264853,14257771
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,14257415,14264432
11260,11260,4,0,14257416,14264474
11260,11260,4,0,14257417,14264475
11260,11260,4,0,14257418,14264476
11260,11260,4,0,14257419,14264477
11260,11260,4,0,14257420,14264478
11260,11260,4,0,14257421,14264479
11260,11260,4,0,14257422,14264480
11260,11260,4,0,14257423,14264481
11260,11260,4,0,14257424,14264482
11260,11260,4,0,14257425,14264423
11260,11260,4,0,14257426,14264483
11260,11260,4,0,14257427,14264485
11260,11260,4,0,14257428,14264486
11260,11260,4,0,14257429,14264487
11260,11260,4,0,14257430,14264488
11260,11260,4,0,14257431,14264489
11260,11260,4,0,14257432,14264490
11260,11260,4,0,14257433,14264491
11260,11260,4,0,14257434,14264492
11260,11260,4,0,14257435,14264493
11260,11260,4,0,14257436,14264494
11260,11260,4,0,14257437,14264495
11260,11260,4,0,14257438,14264496
11260,11260,4,0,14257439,14264497
11260,11260,4,0,14257440,14264498
11260,11260,4,0,14257441,14264499
